Название вакансии;Название компании;Зарплата;Ссылка на вакансию
Программист 1С;;Опыт 1-3 года;https://tomsk.hh.ru/vacancy/110191921?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (разработка информационных систем);ЛАМА, Группа компаний;до 123 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/117416543?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист;;от 80 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/118345837?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior front-end разработчик;Головное подразделение Сибагро;940 – 1 600 $ за месяц, на руки;https://tomsk.hh.ru/vacancy/119104080?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист С++;;100 000 – 200 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/118770902?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Стажёр-программист PHP;ООО Паритет;Без опыта;https://tomsk.hh.ru/vacancy/119079689?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист;;Опыт 1-3 года;https://tomsk.hh.ru/vacancy/117655671?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик чат-ботов (стажёр) Удаленно;ИП Василенко Борис Геннадьевич;до 20 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/118853233?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист;;50 000 – 110 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/83312825?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик;НИИ радиотехнических систем ТУСУР;60 000 – 120 000 ₽ за месяц, до вычета налогов;https://tomsk.hh.ru/vacancy/118948403?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист разработчик;;от 70 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/118578637?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
WEB разработчик;Консорциум Кодекс;от 40 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/118457045?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C++;;Опыт 1-3 года;https://tomsk.hh.ru/vacancy/117155418?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
